법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
205326,현행,해병사단령,,005557,20181204,29321,타법개정,1290000,국방부,대통령령,,20190101,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=205326&type=HTML&mobileYn=&efYd=20190101
252901,현행,해사안전기본법,,000058,20230725,19572,전부개정,1192000,해양수산부,법률,,20250726,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=252901&type=HTML&mobileYn=&efYd=20250726
258873,현행,해사안전기본법 시행령,,005570,20240116,34152,전부개정,1192000,해양수산부,대통령령,,20250726,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=258873&type=HTML&mobileYn=&efYd=20250726
260153,현행,해사안전기본법 시행규칙,,008667,20240205,00651,전부개정,1192000,해양수산부,해양수산부령,,20250726,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=260153&type=HTML&mobileYn=&efYd=20250726
252871,현행,해상교통안전법,,014483,20230725,19573,제정,1192000,해양수산부,법률,,20240726,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=252871&type=HTML&mobileYn=&efYd=20240726
271177,현행,해상교통안전법 시행령,,014593,20250520,35531,일부개정,1192000,해양수산부,대통령령,,20250520,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=271177&type=HTML&mobileYn=&efYd=20250520
271375,현행,해상교통안전법 시행규칙,,014619,20250526,00734,일부개정,1192000,해양수산부,해양수산부령,,20250526,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=271375&type=HTML&mobileYn=&efYd=20250526
285677,현행,해상풍력 보급 촉진 및 산업 육성에 관한 특별법,해상풍력법,014861,20260428,21585,타법개정,1482000,기후에너지환경부,법률,,20260517,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285677&type=HTML&mobileYn=&efYd=20260517
284589,현행,해상풍력 보급 촉진 및 산업 육성에 관한 특별법 시행령,해상풍력법 시행령,015078,20260324,36216,제정,1482000,기후에너지환경부,대통령령,,20260326,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=284589&type=HTML&mobileYn=&efYd=20260326
285041,현행,해상풍력 보급 촉진 및 산업 육성에 관한 특별법 시행규칙,해상풍력법 시행규칙,015091,20260325,00032,제정,1482000,기후에너지환경부,기후에너지환경부령,,20260326,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285041&type=HTML&mobileYn=&efYd=20260326
285153,현행,해수욕장의 이용 및 관리에 관한 법률,해수욕장법,012065,20260331,21519,일부개정,1192000,해양수산부,법률,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285153&type=HTML&mobileYn=&efYd=20260701
278029,현행,해수욕장의 이용 및 관리에 관한 법률 시행령,해수욕장법 시행령,012180,20251001,35811,타법개정,1192000,해양수산부,대통령령,,20251001,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=278029&type=HTML&mobileYn=&efYd=20251001
252227,현행,해수욕장의 이용 및 관리에 관한 법률 시행규칙,해수욕장법 시행규칙,012185,20230627,00610,일부개정,1192000,해양수산부,해양수산부령,,20230628,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=252227&type=HTML&mobileYn=&efYd=20230628
270845,현행,해양경비법,,011562,20250422,20948,일부개정,1532000,해양경찰청,법률,,20251023,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=270845&type=HTML&mobileYn=&efYd=20251023
281365,현행,해양경비법 시행령,,011674,20251230,35947,타법개정,1532000,해양경찰청,대통령령,,20260102,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=281365&type=HTML&mobileYn=&efYd=20260102
285571,현행,해양경비법 시행규칙,,011677,20260420,00793,일부개정,1532000,해양경찰청,해양수산부령,,20260420,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285571&type=HTML&mobileYn=&efYd=20260420
268817,현행,해양경찰법,,013566,20250131,20727,타법개정,1532000,해양경찰청,법률,,20260201,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=268817&type=HTML&mobileYn=&efYd=20260201
229293,현행,해양경찰법 제11조제5항 단서에 따른 긴급하고 중요한 사건의 범위 등에 관한 규정,,014014,20210203,31432,제정,1532000,해양경찰청,대통령령,,20210203,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=229293&type=HTML&mobileYn=&efYd=20210203
236141,현행,해양경찰 분야 과학기술진흥에 관한 규정,,013674,20211019,32063,타법개정,1532000,해양경찰청,대통령령,,20211021,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=236141&type=HTML&mobileYn=&efYd=20211021
287953,현행,해양경찰수사규칙,,013977,20260701,00805,일부개정,1532000,해양경찰청,해양수산부령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287953&type=HTML&mobileYn=&efYd=20260701
214057,현행,해양경찰위원회 규정,,013673,20200204,30388,제정,1532000,해양경찰청,대통령령,,20200221,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=214057&type=HTML&mobileYn=&efYd=20200221
268819,현행,해양경찰장비 도입 및 관리에 관한 법률,해양경찰장비법,014064,20250131,20727,타법개정,1532000,해양경찰청,법률,,20260201,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=268819&type=HTML&mobileYn=&efYd=20260201
285819,현행,해양경찰장비 도입 및 관리에 관한 법률 시행령,해양경찰장비법 시행령,014265,20260506,36311,일부개정,1532000,해양경찰청,대통령령,,20260506,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285819&type=HTML&mobileYn=&efYd=20260506
241793,현행,해양경찰장비 도입 및 관리에 관한 법률 시행규칙,해양경찰장비법 시행규칙,014269,20220413,00540,제정,1532000,해양경찰청,해양수산부령,,20220414,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=241793&type=HTML&mobileYn=&efYd=20220414
